Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
1,901564800F76,02:59:13.927,02:59:14.032,105.49799999999999,6.445619822176725,YES,0x93 0x01 0x33 0xA4 0x52 0x02 0x00 0x00
1,901564800F76,02:59:13.927,02:59:14.133,205.717,3.305511941161887,YES,0x93 0x01 0x43 0xB2 0x50 0x02 0x00 0x00
1,901564800E5A,02:59:13.927,02:59:14.368,440.678,1.5430768043787073,YES,0x93 0x01 0x00 0xA1 0x46 0x00 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:14.369,442.08599999999996,1.538162258022195,YES,0x93 0x01 0x12 0xA1 0x53 0x0A 0x00 0x00
1,901564800FA8,02:59:13.927,02:59:14.394,467.318,1.4551119366255956,YES,0x93 0x01 0x11 0xB3 0x48 0x01 0x00 0x00
1,901564800E70,02:59:13.927,02:59:14.415,487.813,1.6399726944546373,YES,0x92 0x01 0x00 0x00 0x11 0x12 0x22 0x13 0x23 0x33 0x43
1,901564800FA8,02:59:13.927,02:59:14.455,527.7239999999999,1.2885523493341218,YES,0x93 0x01 0x22 0xA2 0x49 0x02 0x00 0x00
1,901564800F76,02:59:13.927,02:59:14.504,577.496,1.1774973333148628,YES,0x93 0x01 0x12 0xA7 0x4D 0x01 0x00 0x00
1,901564800E70,02:59:13.927,02:59:14.566,639.1360000000001,1.0639363140239322,YES,0x93 0x01 0x12 0xA1 0x53 0x0A 0x00 0x00
1,901564800E5A,02:59:13.927,02:59:14.741,813.702,0.8356867747652088,YES,0x93 0x01 0x11 0xA2 0x48 0x03 0x00 0x00
1,901564800E5A,02:59:13.927,02:59:14.797,870.189,0.7814394344217176,YES,0x93 0x01 0x12 0xA3 0x4D 0x03 0x00 0x00
1,901564800E5A,02:59:13.927,02:59:14.847,920.2439999999999,0.7389344565137073,YES,0x93 0x01 0x22 0xA3 0x53 0x02 0x00 0x00
1,901564800E5A,02:59:13.927,02:59:14.903,975.703,0.6969333905911942,YES,0x93 0x01 0x23 0xA3 0x4D 0x01 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:14.940,1012.918,0.6713277876392758,YES,0x93 0x01 0x23 0xA0 0x5C 0x15 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:15.344,1416.598,0.4800232670101186,YES,0x93 0x01 0x11 0xA6 0x59 0x3A 0x00 0x00
1,901564800E70,02:59:13.927,02:59:15.347,1419.778,0.4789481172408644,YES,0x93 0x01 0x23 0xA0 0x5C 0x15 0x00 0x00
1,901564800E70,02:59:13.927,02:59:15.751,1824.251,0.37275572275964214,YES,0x93 0x01 0x11 0xA6 0x59 0x3A 0x00 0x00
1,901564800E70,02:59:13.927,02:59:16.223,2296.4120000000003,0.2961141119276506,YES,0x93 0x01 0x33 0x9E 0x5A 0x01 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:16.488,2561.1549999999997,0.2655052115158981,YES,0x93 0x01 0x33 0x9E 0x5A 0x01 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:16.592,2665.343,0.2551266384851781,YES,0x93 0x01 0x13 0x9F 0x59 0x12 0x00 0x00
1,901564800E70,02:59:13.927,02:59:16.686,2759.32,0.24643752808663,YES,0x93 0x01 0x13 0x9F 0x59 0x12 0x00 0x00
1,901564800E70,02:59:13.927,02:59:17.176,3249.1,0.2092887261087686,YES,0x93 0x01 0x43 0xA0 0x57 0xA9 0x00 0x00
1,901564800E70,02:59:13.927,02:59:17.225,3297.7630000000004,0.2062003849276009,YES,0x93 0x01 0x43 0xA2 0x5A 0x07 0x00 0x00
1,901564800E70,02:59:13.927,02:59:17.275,3348.343,0.2030855261841454,YES,0x93 0x01 0x12 0xA1 0x53 0x01 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:17.458,3530.85,0.19258818698047214,YES,0x93 0x01 0x43 0xA0 0x57 0xA9 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:17.496,3568.5750000000003,0.2241791191161738,YES,0x92 0x01 0x00 0x00 0x11 0x12 0x22 0x13 0x23 0x33 0x43
1,901564800FC4,02:59:13.927,02:59:17.942,4014.6670000000004,0.1693789298091224,YES,0x93 0x01 0x43 0xA2 0x5A 0x07 0x00 0x00
1,901564800FA8,02:59:13.927,02:59:18.206,4279.348,0.1589027113476165,YES,0x93 0x01 0x12 0xA3 0x4E 0x02 0x00 0x00
1,901564800FA8,02:59:13.927,02:59:18.365,4437.597000000001,0.15323608700835156,YES,0x93 0x01 0x33 0xA3 0x5A 0x03 0x00 0x00
1,901564800FA8,02:59:13.927,02:59:18.416,4488.757,0.15148959945927126,YES,0x93 0x01 0x43 0xA4 0x5A 0x02 0x00 0x00
1,901564800FC4,02:59:13.927,02:59:18.824,4897.318,0.1388515101531083,YES,0x93 0x01 0x12 0xA1 0x53 0x01 0x00 0x00
2,901564800FC4,02:59:18.928,02:59:18.950,22.033,30.86279671401988,YES,0x93 0x01 0x33 0x9E 0x5F 0x02 0x00 0x00
2,901564800FC4,02:59:18.928,02:59:19.006,78.125,8.704,YES,0x93 0x01 0x13 0x9F 0x56 0x02 0x00 0x00
2,901564800E5A,02:59:18.928,02:59:19.057,129.352,5.2569732203599475,YES,0x93 0x02 0x12 0xA2 0x4B 0x03 0x00 0x00
2,901564800FA8,02:59:18.928,02:59:19.112,183.793,3.6998144651863782,YES,0x93 0x01 0x23 0xA5 0x58 0x01 0x00 0x00
2,901564800FC4,02:59:18.928,02:59:19.152,224.107,3.0342648823999254,YES,0x93 0x01 0x23 0xA0 0x5C 0x02 0x00 0x00
2,901564800E70,02:59:18.928,02:59:19.161,233.52200000000002,2.9119312099074177,YES,0x93 0x01 0x33 0x9E 0x5F 0x02 0x00 0x00
