Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
2,901564800E70,02:31:44.972,02:31:46.335,1363.224,0.49881750908141287,YES,0x93 0x02 0x43 0xA0 0x58 0x09 0x00 0x00
2,901564800E70,02:31:44.972,02:31:46.397,1424.565,0.4773386963739808,YES,0x93 0x02 0x43 0xA0 0x5F 0x09 0x00 0x00
2,901564800FA8,02:31:44.972,02:31:46.406,1433.4089999999999,0.47439356108410097,YES,0x93 0x02 0x43 0x00 0x60 0x00 0x00 0x00
2,901564800E70,02:31:44.972,02:31:46.447,1475.1000000000001,0.4609856958850247,YES,0x93 0x02 0x23 0x9E 0x5C 0x09 0x00 0x00
2,901564800E70,02:31:44.972,02:31:46.498,1525.5529999999999,0.44574000378879003,YES,0x93 0x02 0x12 0x9E 0x53 0x09 0x00 0x00
2,901564800E70,02:31:44.972,02:31:46.548,1576.1480000000001,0.4314315660712065,YES,0x93 0x02 0x43 0xA0 0x58 0x09 0x00 0x00
2,901564800E70,02:31:44.972,02:31:46.600,1628.045,0.41767887251273766,YES,0x93 0x02 0x43 0xA0 0x5F 0x09 0x00 0x00
2,901564800F76,02:31:44.972,02:31:46.722,1749.643,0.3886507133169452,YES,0x93 0x01 0x33 0x00 0x57 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:46.764,1792.119,0.3794390885873092,YES,0x93 0x01 0x12 0x00 0x4F 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:46.813,1841.172,0.36932997025807474,YES,0x93 0x01 0x11 0x00 0x55 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:46.866,1893.4820000000002,0.3591267305419328,YES,0x93 0x01 0x22 0x00 0x59 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:46.916,1943.571,0.3498714479687133,YES,0x93 0x01 0x43 0x00 0x53 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:46.967,1994.55,0.34092903161114035,YES,0x93 0x01 0x13 0x00 0x59 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.017,2044.986,0.3325206138330531,YES,0x93 0x02 0x22 0x9F 0x59 0x02 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.069,2096.728,0.324314837213029,YES,0x93 0x02 0x12 0xA7 0x4F 0x01 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.120,2148.051,0.31656604056421384,YES,0x93 0x02 0x23 0x00 0x56 0x00 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.171,2198.549,0.30929490313838814,YES,0x93 0x02 0x33 0xA4 0x57 0x01 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.219,2246.5229999999997,0.3026899791366481,YES,0x93 0x02 0x43 0xA8 0x52 0x04 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.272,2299.8720000000003,0.2956686285149782,YES,0x93 0x02 0x11 0x9D 0x52 0x01 0x00 0x00
2,901564800E70,02:31:44.972,02:31:47.306,2333.528,0.2914042599874525,YES,0x93 0x02 0x43 0xA0 0x58 0x09 0x00 0x00
2,901564800F76,02:31:44.972,02:31:47.321,2348.4379999999996,0.2895541632353079,YES,0x93 0x02 0x13 0xA3 0x58 0x05 0x00 0x00
2,901564800E70,02:31:44.972,02:31:47.714,2741.693,0.2480219338926714,YES,0x93 0x02 0x43 0xA0 0x5F 0x09 0x00 0x00
2,901564800E70,02:31:44.972,02:31:48.544,3571.547,0.19039368654535418,YES,0x93 0x02 0x43 0xA0 0x58 0x09 0x00 0x00
2,901564800E70,02:31:44.972,02:31:49.016,4043.519,0.19784746899915642,YES,0x92 0x02 0x00 0x00 0x11 0x12 0x22 0x13 0x23 0x33 0x43
2,901564800E70,02:31:44.972,02:31:49.160,4187.394,0.16239217040479112,YES,0x93 0x02 0x33 0x9F 0x59 0x02 0x00 0x00
2,901564800E5A,02:31:44.972,02:31:49.238,4265.398,0.15942240325521792,YES,0x93 0x02 0x11 0xA1 0x4B 0x02 0x00 0x00
2,901564800E5A,02:31:44.972,02:31:49.692,4720.221,0.14406105137873843,YES,0x93 0x02 0x43 0xA3 0x51 0x01 0x00 0x00
2,901564800E5A,02:31:44.972,02:31:49.821,4848.914,0.14023758722056115,YES,0x93 0x02 0x12 0xA2 0x49 0x03 0x00 0x00
2,901564800E5A,02:31:44.972,02:31:49.878,4906.063999999999,0.1386039807063259,YES,0x93 0x02 0x33 0xA4 0x51 0x02 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:50.023,49.116,13.844775633194885,YES,0x93 0x03 0x00 0xA1 0x45 0x00 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:50.074,100.092,6.7937497502297886,YES,0x93 0x03 0x12 0xA2 0x4A 0x03 0x00 0x00
3,901564800E70,02:31:49.974,02:31:50.087,113.07000000000001,6.01397364464491,YES,0x93 0x02 0x12 0x9E 0x52 0x07 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:50.125,151.867,4.477602112374643,YES,0x93 0x03 0x23 0xA3 0x52 0x02 0x00 0x00
3,901564800F76,02:31:49.974,02:31:50.135,161.74099999999999,4.204252477726737,YES,0x93 0x03 0x23 0xA1 0x57 0x02 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:50.175,201.337,3.377421934368745,YES,0x93 0x03 0x22 0xA2 0x58 0x05 0x00 0x00
3,901564800F76,02:31:49.974,02:31:50.183,209.607,3.2441664639062626,YES,0x93 0x03 0x12 0xA7 0x4F 0x01 0x00 0x00
3,901564800E70,02:31:49.974,02:31:50.212,238.547,2.8505912880899777,YES,0x93 0x02 0x11 0xA6 0x5E 0x03 0x00 0x00
3,901564800F76,02:31:49.974,02:31:50.240,266.084,2.5555839509327885,YES,0x93 0x03 0x43 0xA9 0x51 0x05 0x00 0x00
3,901564800F76,02:31:49.974,02:31:50.287,313.479,2.1692043167165904,YES,0x93 0x03 0x22 0x9F 0x59 0x01 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:50.538,564.29,1.2050541388293254,YES,0x93 0x03 0x11 0xA1 0x4A 0x04 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:50.577,603.221,1.1272817093569356,YES,0x93 0x03 0x43 0xA3 0x53 0x04 0x00 0x00
3,901564800F76,02:31:49.974,02:31:50.687,712.939,0.953798291298414,YES,0x93 0x03 0x11 0x9D 0x55 0x05 0x00 0x00
3,901564800E70,02:31:49.974,02:31:51.010,1036.737,0.6559040528118509,YES,0x93 0x02 0x43 0xA0 0x5B 0x06 0x00 0x00
3,901564800F76,02:31:49.974,02:31:51.085,1111.655,0.6117005725697271,YES,0x93 0x03 0x33 0xA4 0x56 0x01 0x00 0x00
3,901564800E70,02:31:49.974,02:31:51.119,1145.8509999999999,0.5934453956055369,YES,0x93 0x03 0x12 0x9E 0x54 0x01 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:51.404,1430.483,0.47536391554460977,YES,0x93 0x03 0x13 0xA6 0x59 0x01 0x00 0x00
3,901564800E70,02:31:49.974,02:31:51.533,1559.763,0.43596366883943266,YES,0x93 0x03 0x11 0xA6 0x59 0x02 0x00 0x00
3,901564800FA8,02:31:49.974,02:31:51.542,1568.796,0.4334534254294376,YES,0x93 0x03 0x11 0xB3 0x46 0x01 0x00 0x00
3,901564800FA8,02:31:49.974,02:31:51.651,1677.367,0.405397268457052,YES,0x93 0x03 0x22 0xA1 0x49 0x03 0x00 0x00
3,901564800FA8,02:31:49.974,02:31:51.696,1722.119,0.3948623759449841,YES,0x93 0x03 0x12 0xA1 0x4E 0x05 0x00 0x00
3,901564800E70,02:31:49.974,02:31:51.883,1909.2340000000002,0.19274745788101405,YES,
3,901564800E70,02:31:49.974,02:31:51.919,1945.28,0.41125185063332786,YES,0x92 0x03 0x00 0x00 0x11 0x12 0x22 0x13 0x23 0x33 0x43
3,901564800F76,02:31:49.974,02:31:51.957,1982.935,0.3429260162335125,YES,0x93 0x03 0x13 0xA3 0x58 0x05 0x00 0x00
3,901564800E70,02:31:49.974,02:31:51.974,2000.238,0.3399595448141671,YES,0x93 0x03 0x11 0xA6 0x5E 0x02 0x00 0x00
3,901564800E70,02:31:49.974,02:31:52.020,2046.64,0.3322518860180589,YES,0x93 0x03 0x43 0xA0 0x5F 0x06 0x00 0x00
3,901564800FA8,02:31:49.974,02:31:52.108,2134.86,0.31852205765249236,YES,0x93 0x03 0x23 0xA5 0x59 0x01 0x00 0x00
3,901564800FA8,02:31:49.974,02:31:52.148,2174.027,0.3127836038834844,YES,0x93 0x03 0x33 0xA1 0x58 0x01 0x00 0x00
3,901564800E5A,02:31:49.974,02:31:52.383,2409.283,0.28224164616610004,YES,0x93 0x03 0x33 0xA4 0x51 0x04 0x00 0x00
3,901564800E70,02:31:49.974,02:31:52.392,2418.825,0.2811282337498579,YES,0x93 0x03 0x43 0xA0 0x59 0x02 0x00 0x00
3,901564800E70,02:31:49.974,02:31:52.862,2888.583,0.2354095416333891,YES,0x93 0x03 0x12 0x9E 0x53 0x01 0x00 0x00
3,901564800FA8,02:31:49.974,02:31:52.930,2956.3030000000003,0.2300170178767197,YES,0x93 0x03 0x13 0xB3 0x57 0x03 0x00 0x00
3,901564800E70,02:31:49.974,02:31:53.357,3383.103,0.2009989054427252,YES,0x93 0x03 0x13 0x9C 0x5D 0x09 0x00 0x00
3,901564800E70,02:31:49.974,02:31:53.475,3501.372,0.19420958412873582,YES,0x93 0x03 0x23 0x9E 0x5D 0x03 0x00 0x00
3,901564800E70,02:31:49.974,02:31:53.528,3553.931,0.19133742326454847,YES,0x93 0x03 0x33 0x9F 0x5C 0x01 0x00 0x00
4,901564800E70,02:31:54.975,02:31:55.031,56.196000000000005,14.235888675350557,YES,0x92 0x04 0x00 0x00 0x11 0x12 0x22 0x13 0x23 0x33 0x43
4,901564800E5A,02:31:54.975,02:31:55.041,65.969,10.307871879215996,YES,0x93 0x04 0x43 0xA3 0x51 0x04 0x00 0x00
4,901564800F76,02:31:54.975,02:31:55.150,174.978,3.886202836928071,YES,0x93 0x04 0x22 0x9F 0x59 0x03 0x00 0x00
4,901564800F76,02:31:54.975,02:31:55.192,217.67600000000002,3.123908928866756,YES,0x93 0x04 0x23 0xA1 0x56 0x01 0x00 0x00
4,901564800E5A,02:31:54.975,02:31:55.423,448.536,1.5160433053311217,YES,0x93 0x04 0x11 0xA1 0x4A 0x03 0x00 0x00
4,901564800E5A,02:31:54.975,02:31:55.442,467.242,1.4553486202010948,YES,0x93 0x04 0x12 0xA2 0x4A 0x03 0x00 0x00
4,901564800E70,02:31:54.975,02:31:55.444,469.597,1.4480501366064946,YES,0x93 0x04 0x43 0xA0 0x5A 0x10 0x00 0x00
4,901564800E70,02:31:54.975,02:31:55.488,513.3290000000001,1.324686507093891,YES,0x93 0x04 0x43 0xA0 0x5B 0x10 0x00 0x00
4,901564800FA8,02:31:54.975,02:31:55.555,580.802,1.170794866408862,YES,0x93 0x04 0x12 0xA1 0x4E 0x02 0x00 0x00
4,901564800FA8,02:31:54.975,02:31:55.611,636.799,1.0678408728656923,YES,0x93 0x04 0x11 0xB3 0x46 0x01 0x00 0x00
