Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
1,901564800FA8,04:24:43.404,04:24:43.483,79.113,8.595300393108591,YES,0x93 0x01 0x23 0x00 0x51 0x00 0x00 0x00
1,901564800E5A,04:24:43.404,04:24:43.500,96.045,7.080014576500599,YES,0x93 0x01 0x00 0xA2 0x55 0x00 0x00 0x00
1,901564800E70,04:24:43.404,04:24:43.610,205.94899999999998,3.301788306813823,YES,0x93 0x01 0x42 0x00 0x52 0x00 0x00 0x00
1,901564800FA8,04:24:43.404,04:24:43.881,476.744,1.4263420200359103,YES,0x93 0x01 0x11 0x00 0x48 0x00 0x00 0x00
1,901564800F76,04:24:43.404,04:24:43.886,482.346,1.4097763845869977,YES,0x93 0x01 0x42 0x00 0x51 0x00 0x00 0x00
1,901564800F76,04:24:43.404,04:24:43.941,537.1,1.2660584621113387,YES,0x93 0x01 0x11 0x00 0x45 0x00 0x00 0x00
1,901564800FA8,04:24:43.404,04:24:44.085,680.9739999999999,0.9985696957593095,YES,0x93 0x01 0x12 0x00 0x5A 0x00 0x00 0x00
1,901564800F76,04:24:43.404,04:24:44.093,689.1709999999999,0.9866927076153814,YES,0x93 0x01 0x23 0x00 0x54 0x00 0x00 0x00
1,901564800F76,04:24:43.404,04:24:44.142,738.476,0.9208153007003612,YES,0x93 0x01 0x32 0x00 0x54 0x00 0x00 0x00
1,unknown,04:24:43.404,04:24:44.169,764.786,0.18828796552238142,YES,N/A
1,901564800FA8,04:24:43.404,04:24:44.236,831.801,0.8175032249300013,YES,0x93 0x01 0x13 0x00 0x59 0x00 0x00 0x00
1,901564800FA8,04:24:43.404,04:24:44.770,1365.8980000000001,0.4978409808053017,YES,0x93 0x01 0x42 0x00 0x46 0x00 0x00 0x00
1,901564800FA8,04:24:43.404,04:24:44.788,1384.343,0.4912077425898061,YES,0x93 0x01 0x32 0x00 0x55 0x00 0x00 0x00
1,901564800F76,04:24:43.404,04:24:44.841,1436.901,0.47324067559282096,YES,0x93 0x01 0x12 0x00 0x53 0x00 0x00 0x00
1,901564800E5A,04:24:43.404,04:24:45.057,1653.1290000000001,0.41134115970381013,YES,0x93 0x01 0x42 0x00 0x54 0x00 0x00 0x00
1,901564800E5A,04:24:43.404,04:24:45.448,2043.5759999999998,0.3327500420830936,YES,0x93 0x01 0x22 0x00 0x53 0x00 0x00 0x00
1,901564800E5A,04:24:43.404,04:24:47.566,4161.518,0.16340191247520736,YES,0x93 0x01 0x11 0x00 0x48 0x00 0x00 0x00
1,901564800E5A,04:24:43.404,04:24:48.002,4598.12,0.14788652753734136,YES,0x93 0x01 0x13 0x00 0x50 0x00 0x00 0x00
2,unknown,04:24:48.405,04:24:49.260,854.437,0.16853202752221638,YES,N/A
2,901564800F76,04:24:48.405,04:24:49.261,855.572,0.7947899183236479,YES,0x93 0x02 0x12 0xA5 0x51 0x01 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:49.282,877.183,0.775208821876393,YES,0x93 0x01 0x00 0xA2 0x55 0x00 0x00 0x00
2,901564800F76,04:24:48.405,04:24:49.311,905.841,0.7506836188690951,YES,0x93 0x02 0x11 0xA0 0x44 0x01 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:49.318,913.0939999999999,0.7447206968833439,YES,0x93 0x01 0x12 0x00 0x50 0x00 0x00 0x00
2,901564800F76,04:24:48.405,04:24:49.355,950.1460000000001,0.7156794850475611,YES,0x93 0x02 0x32 0xA5 0x54 0x03 0x00 0x00
2,901564800FA8,04:24:48.405,04:24:49.401,996.11,0.6826555300117456,YES,0x93 0x02 0x11 0xB3 0x47 0x02 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:49.616,1210.61,0.5617002998488366,YES,0x93 0x01 0x32 0x00 0x53 0x00 0x00 0x00
2,901564800F76,04:24:48.405,04:24:49.794,1389.106,0.4895234776899675,YES,0x93 0x02 0x42 0xB2 0x50 0x01 0x00 0x00
2,901564800FA8,04:24:48.405,04:24:50.304,1899.03,0.3580775448518454,YES,0x93 0x02 0x23 0xA4 0x51 0x04 0x00 0x00
2,901564800FA8,04:24:48.405,04:24:50.459,2053.815,0.3310911644914464,YES,0x93 0x02 0x32 0xA4 0x53 0x04 0x00 0x00
2,901564800FA8,04:24:48.405,04:24:50.508,2102.553,0.323416341942391,YES,0x93 0x02 0x42 0xA5 0x45 0x03 0x00 0x00
2,901564800F76,04:24:48.405,04:24:50.527,2122.0750000000003,0.32044107771874225,YES,0x93 0x02 0x13 0x00 0x5B 0x00 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:51.098,2692.775,0.2525275969956643,YES,0x93 0x01 0x23 0x00 0x57 0x00 0x00 0x00
2,901564800F76,04:24:48.405,04:24:51.286,2881.274,0.23600671092023875,YES,0x93 0x02 0x23 0xA2 0x52 0x02 0x00 0x00
2,901564800FA8,04:24:48.405,04:24:51.318,2912.403,0.23348417097496468,YES,0x93 0x02 0x12 0xB2 0x5A 0x05 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:51.475,3070.087,0.22149209452370566,YES,0x93 0x02 0x11 0xA4 0x47 0x03 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:51.527,3121.494,0.21784440399372865,YES,0x93 0x02 0x13 0xA5 0x51 0x03 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:51.573,3167.476,0.21468197391235166,YES,0x93 0x02 0x42 0xA5 0x50 0x02 0x00 0x00
2,901564800E5A,04:24:48.405,04:24:51.624,3218.446,0.21128209079785712,YES,0x93 0x02 0x12 0xA5 0x50 0x02 0x00 0x00
2,901564800FA8,04:24:48.405,04:24:51.770,3364.8289999999997,0.20209050742251689,YES,0x93 0x02 0x13 0xA4 0x57 0x02 0x00 0x00
2,901564800E70,04:24:48.405,04:24:52.690,4284.713,0.15870374515165891,YES,0x93 0x01 0x22 0x00 0x4E 0x00 0x00 0x00
3,901564800E70,04:24:53.407,04:24:53.640,233.537,2.911744177582139,YES,0x93 0x01 0x12 0x00 0x54 0x00 0x00 0x00
3,901564800F76,04:24:53.407,04:24:54.310,902.914,0.7531171296491138,YES,0x93 0x03 0x23 0xA1 0x52 0x03 0x00 0x00
3,901564800E5A,04:24:53.407,04:24:54.355,947.765,0.7174774337520378,YES,0x93 0x03 0x11 0xA4 0x47 0x01 0x00 0x00
3,unknown,04:24:53.407,04:24:54.357,950.1659999999999,0.15155246556917423,YES,N/A
3,901564800E5A,04:24:53.407,04:24:55.088,1681.035,0.4045126960473756,YES,0x93 0x03 0x42 0xA5 0x54 0x02 0x00 0x00
3,901564800E5A,04:24:53.407,04:24:55.138,1730.7030000000002,0.39290392401238106,YES,0x93 0x03 0x13 0xA5 0x50 0x02 0x00 0x00
3,901564800E5A,04:24:53.407,04:24:55.183,1775.753,0.38293614033032747,YES,0x93 0x03 0x00 0xA4 0x53 0x00 0x00 0x00
3,901564800E5A,04:24:53.407,04:24:55.603,2196.214,0.30962374340569726,YES,0x93 0x03 0x12 0xA5 0x51 0x03 0x00 0x00
3,901564800E5A,04:24:53.407,04:24:55.974,2567.453,0.2648539233240102,YES,0x93 0x03 0x23 0xA5 0x56 0x03 0x00 0x00
3,901564800FA8,04:24:53.407,04:24:56.243,2835.645,0.23980434786441884,YES,0x93 0x03 0x42 0xA5 0x45 0x03 0x00 0x00
3,901564800FA8,04:24:53.407,04:24:56.267,2860.31,0.23773646912397606,YES,0x93 0x03 0x23 0xA4 0x51 0x03 0x00 0x00
3,901564800FA8,04:24:53.407,04:24:56.318,2911.054,0.23359236894952823,YES,0x93 0x03 0x11 0xB2 0x46 0x01 0x00 0x00
