Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
1,901564800F76,06:30:40.022,06:30:40.199,176.728,3.847720791272464,YES,0x93 0x01 0x21 0xA4 0x54 0x05 0x00 0x00
1,901564800E70,06:30:40.022,06:30:40.582,559.9680000000001,1.4286530658894794,YES,0x92 0x01 0x00 0x00 0x13 0x12 0x22 0x11 0x21 0x31 0x41
1,901564800FC4,06:30:40.022,06:30:40.608,586.1469999999999,0.6278288552189127,YES,
1,901564800F76,06:30:40.022,06:30:40.649,626.48,1.0854297024645638,YES,0x93 0x01 0x11 0xA4 0x56 0x04 0x00 0x00
1,901564800F76,06:30:40.022,06:30:40.701,679.361,1.0009405897600834,YES,0x93 0x01 0x22 0xA3 0x54 0x06 0x00 0x00
1,901564800E70,06:30:40.022,06:30:40.826,803.964,0.8458090163241141,YES,0x93 0x01 0x12 0xA4 0x67 0x02 0x00 0x00
1,901564800FC4,06:30:40.022,06:30:41.035,1013.361,0.7894521300898694,YES,0x92 0x01 0x00 0x00 0x13 0x12 0x22 0x11 0x21 0x31 0x41
1,901564800F76,06:30:40.022,06:30:41.103,1080.53,0.6293207962759017,YES,0x93 0x01 0x12 0xB3 0x57 0x03 0x00 0x00
1,901564800E70,06:30:40.022,06:30:41.230,1207.751,0.3046985678339327,YES,
1,901564800E70,06:30:40.022,06:30:41.328,1305.56,0.5208492907258189,YES,0x93 0x01 0x21 0xA1 0x57 0x04 0x00 0x00
1,901564800E70,06:30:40.022,06:30:41.380,1357.853,0.500790586315308,YES,0x93 0x01 0x41 0xA2 0x62 0x02 0x00 0x00
1,901564800FC4,06:30:40.022,06:30:41.406,1383.5249999999999,0.49149816591677065,YES,0x93 0x01 0x41 0xA2 0x62 0x02 0x00 0x00
1,901564800E5A,06:30:40.022,06:30:41.418,1395.907,0.4871384698264283,YES,0x93 0x01 0x11 0xA5 0x58 0x02 0x00 0x00
1,901564800E70,06:30:40.022,06:30:41.429,1407.237,0.48321640207015587,YES,0x93 0x01 0x31 0xA3 0x60 0x0E 0x00 0x00
